Team,Opponent,Format,Ground,Year,Toss,Selection,Run Scored,Wicket Lost,Fours,Sixes,Extras,Run Rate,Avg Bat Strike Rate,Highest Score,Wicket Taken,Given Extras,Highest Individual wicket,Player Of The Match,Result
Pakistan,Sri Lanka,ODI,Sharjah,1984,Lose,Batting,187.0,9.0,9.0,3.0,21.0,4.06,52.04,47.0,5.0,26.0,2.0,Roy Dias,Lose
Sri Lanka,Pakistan,ODI,Sharjah,1984,Win,Bowling,190.0,5.0,11.0,1.0,26.0,4.36,68.51,57.0,9.0,21.0,3.0,Roy Dias,Win
India,Sri Lanka,ODI,Sharjah,1984,Win,Bowling,97.0,0.0,9.0,0.0,14.0,4.47,60.48,51.0,10.0,8.0,3.0,Surinder Khanna,Win
Sri Lanka,India,ODI,Sharjah,1984,Lose,Batting,96.0,10.0,7.0,0.0,8.0,2.34,25.74,38.0,0.0,14.0,0.0,Surinder Khanna,Lose
India,Pakistan,ODI,Sharjah,1984,Win,Batting,188.0,4.0,13.0,3.0,17.0,4.08,60.21,56.0,10.0,5.0,3.0,Surinder Khanna,Win
Pakistan,India,ODI,Sharjah,1984,Lose,Bowling,134.0,10.0,5.0,0.0,5.0,3.37,39.46,35.0,4.0,17.0,1.0,Surinder Khanna,Lose
Sri Lanka,Pakistan,ODI,Colombo(PSS),1986,Win,Bowling,116.0,10.0,10.0,0.0,14.0,3.42,37.87,34.0,10.0,15.0,3.0,Mohsin Khan,Lose
Pakistan,Sri Lanka,ODI,Colombo(PSS),1986,Lose,Batting,197.0,10.0,14.0,3.0,15.0,4.37,65.14,39.0,10.0,14.0,3.0,Mohsin Khan,Win
Bangladesh,Pakistan,ODI,Moratuwa,1986,Lose,Batting,94.0,10.0,0.0,0.0,9.0,2.64,24.63,37.0,3.0,5.0,2.0,Wasim Akram,Lose
Pakistan,Bangladesh,ODI,Moratuwa,1986,Win,Bowling,98.0,3.0,4.0,0.0,5.0,3.04,36.79,47.0,10.0,9.0,4.0,Wasim Akram,Win
Sri Lanka,Bangladesh,ODI,Kandy,1986,win,Bowling,132.0,3.0,0.0,0.0,19.0,4.19,46.07,44.0,8.0,10.0,2.0,Asanka Gurusinha,win
Bangladesh,Sri Lanka,ODI,Kandy,1986,Lose,Batting,131.0,8.0,0.0,0.0,10.0,2.91,47.03,40.0,3.0,19.0,1.0,Asanka Gurusinha,Lose
Sri Lanka,Pakistan,ODI,Colombo(SSC),1986,Win,Bowling,195.0,5.0,15.0,1.0,9.0,4.6,62.09,57.0,9.0,14.0,4.0,Javed Miandad,Win
Pakistan,Sri Lanka,ODI,Colombo(SSC),1986,Lose,Batting,191.0,9.0,11.0,4.0,14.0,4.24,70.13,67.0,5.0,9.0,3.0,Javed Miandad,Lose
Pakistan,Sri Lanka,ODI,Dhaka,1988,Lose,Batting,194.0,7.0,5.0,0.0,7.0,4.4,74.43,54.0,5.0,18.0,2.0,Roshan Mahanama,Lose
Sri Lanka,Pakistan,ODI,Dhaka,1988,Win,Bowling,195.0,5.0,10.0,0.0,18.0,5.02,73.08,55.0,7.0,7.0,3.0,Roshan Mahanama,Win
Bangladesh,India,ODI,Chattogram,1988,Lose,Batting,99.0,8.0,5.0,0.0,13.0,2.2,36.13,22.0,1.0,7.0,1.0,Navjot Sidhu,Lose
India,Bangladesh,ODI,Chattogram,1988,Win,Bowling,100.0,1.0,7.0,1.0,7.0,3.84,56.7,50.0,8.0,13.0,3.0,Navjot Sidhu,Win
India,Sri Lanka,ODI,Dhaka,1988,Win,Bowling,254.0,10.0,14.0,4.0,5.0,5.77,97.52,50.0,6.0,13.0,2.0,Aravinda de Silva,Lose
Sri Lanka,India,ODI,Dhaka,1988,Lose,Batting,271.0,6.0,12.0,2.0,13.0,6.02,106.61,69.0,10.0,5.0,4.0,Aravinda de Silva,Win
Bangladesh,Pakistan,ODI,Chattogram,1988,Lose,Bowling,111.0,6.0,0.0,0.0,15.0,2.46,31.02,22.0,3.0,23.0,1.0,Moin ul Atiq,Lose
Pakistan,Bangladesh,ODI,Chattogram,1988,Win,Batting,284.0,3.0,9.0,4.0,23.0,6.31,76.52,124.0,6.0,15.0,3.0,Moin ul Atiq,Win
India,Pakistan,ODI,Dhaka,1988,Win,Bowling,143.0,6.0,8.0,0.0,19.0,3.51,38.29,74.0,10.0,17.0,5.0,Arshad Ayub,Win
Pakistan,India,ODI,Dhaka,1988,Lose,Batting,142.0,10.0,7.0,0.0,17.0,3.35,47.42,38.0,6.0,19.0,3.0,Arshad Ayub,Lose
Bangladesh,Sri Lanka,ODI,Dhaka,1988,Lose,Batting,118.0,8.0,0.0,0.0,12.0,2.62,30.28,30.0,1.0,7.0,1.0,Brendon Kuruppu,Lose
Sri Lanka,Bangladesh,ODI,Dhaka,1988,Win,Bowling,120.0,1.0,0.0,0.0,7.0,3.89,59.78,58.0,8.0,12.0,4.0,Brendon Kuruppu,Win
India,Sri Lanka,ODI,Dhaka,1988,Win,Bowling,180.0,4.0,10.0,3.0,12.0,4.84,62.06,76.0,10.0,18.0,3.0,Navjot Sidhu,Win
Sri Lanka,India,ODI,Dhaka,1988,Lose,Batting,176.0,10.0,8.0,1.0,18.0,4.06,54.48,36.0,4.0,12.0,2.0,Navjot Sidhu,Lose
India,Bangladesh,ODI,Chandigarh,1990,Lose,Bowling,171.0,1.0,12.0,3.0,12.0,4.64,63.78,104.0,6.0,29.0,2.0,Navjot Sidhu,Win
Bangladesh,India,ODI,Chandigarh,1990,Win,Batting,170.0,6.0,11.0,0.0,29.0,3.4,46.26,57.0,1.0,12.0,1.0,Navjot Sidhu,Lose
India,Sri Lanka,ODI,Cuttack,1990,Lose,Bowling,178.0,10.0,9.0,0.0,13.0,3.88,51.31,40.0,10.0,32.0,3.0,Arjuna Ranatunga,Lose
Sri Lanka,India,ODI,Cuttack,1990,Win,Batting,214.0,10.0,2.0,1.0,32.0,4.33,46.93,53.0,10.0,13.0,3.0,Arjuna Ranatunga,Win
Bangladesh,Sri Lanka,ODI,Kolkata,1990,Lose,Bowling,178.0,9.0,0.0,0.0,20.0,3.95,43.2,78.0,4.0,15.0,1.0,Athar Ali Khan,Lose
Sri Lanka,Bangladesh,ODI,Kolkata,1990,Win,Batting,249.0,4.0,0.0,0.0,15.0,5.53,81.82,89.0,9.0,20.0,2.0,Athar Ali Khan,Win
India,Sri Lanka,ODI,Kolkata,1991,Win,Bowling,205.0,3.0,7.0,1.0,2.0,4.86,73.75,75.0,9.0,21.0,4.0,Mohammad Azharuddin,Win
Sri Lanka,India,ODI,Kolkata,1991,Lose,Batting,204.0,9.0,3.0,0.0,21.0,4.53,55.73,49.0,3.0,2.0,1.0,Mohammad Azharuddin,Lose
Bangladesh,India,ODI,Sharjah,1995,Win,Batting,163.0,10.0,12.0,1.0,11.0,3.64,66.87,30.0,1.0,7.0,1.0,Manoj Prabhakar,Lose
India,Bangladesh,ODI,Sharjah,1995,Lose,Bowling,164.0,1.0,21.0,1.0,7.0,5.89,110.24,56.0,10.0,11.0,2.0,Manoj Prabhakar,Win
Bangladesh,Sri Lanka,ODI,Sharjah,1995,Win,Bowling,126.0,10.0,8.0,0.0,12.0,2.84,36.15,26.0,10.0,10.0,4.0,Arjuna Ranatunga,Lose
Sri Lanka,Bangladesh,ODI,Sharjah,1995,Lose,Batting,233.0,10.0,15.0,1.0,10.0,4.69,70.57,71.0,10.0,12.0,4.0,Arjuna Ranatunga,Win
India,Pakistan,ODI,Sharjah,1995,Lose,Bowling,169.0,10.0,11.0,2.0,26.0,3.96,28.93,54.0,9.0,16.0,2.0,Aaqib Javed,Lose
Pakistan,India,ODI,Sharjah,1995,Win,Batting,266.0,9.0,21.0,5.0,16.0,5.32,92.95,88.0,10.0,26.0,5.0,Aaqib Javed,Win
Bangladesh,Pakistan,ODI,Sharjah,1995,Win,Batting,151.0,8.0,7.0,0.0,14.0,3.02,29.93,44.0,4.0,7.0,1.0,Wasim Akram,Lose
Pakistan,Bangladesh,ODI,Sharjah,1995,Lose,Bowling,152.0,4.0,15.0,2.0,7.0,5.12,79.03,38.0,8.0,14.0,2.0,Wasim Akram,Win
India,Sri Lanka,ODI,Sharjah,1995,Lose,Bowling,206.0,2.0,24.0,1.0,17.0,6.21,85.03,112.0,9.0,29.0,3.0,Sachin Tendulkar,Win
Sri Lanka,India,ODI,Sharjah,1995,Win,Batting,202.0,9.0,15.0,2.0,29.0,4.04,49.64,48.0,2.0,17.0,2.0,Sachin Tendulkar,Lose
Pakistan,Sri Lanka,ODI,Sharjah,1995,Lose,Batting,178.0,9.0,5.0,3.0,22.0,3.56,40.74,73.0,5.0,17.0,2.0,Sanath Jayasuriya,Lose
Sri Lanka,Pakistan,ODI,Sharjah,1995,Win,Bowling,180.0,5.0,16.0,2.0,17.0,5.83,101.55,48.0,9.0,22.0,3.0,Sanath Jayasuriya,Win
India,Sri Lanka,ODI,Sharjah,1995,Win,Bowling,233.0,2.0,15.0,2.0,9.0,5.56,83.33,90.0,7.0,37.0,2.0,Mohammad Azharuddin,Win
Sri Lanka,India,ODI,Sharjah,1995,Lose,Batting,230.0,7.0,12.0,3.0,37.0,4.6,72.28,85.0,2.0,9.0,1.0,Mohammad Azharuddin,Lose
Sri Lanka,Pakistan,ODI,Colombo(RPS),1997,Lose,Batting,239.0,10.0,9.0,1.0,12.0,4.79,63.56,80.0,9.0,15.0,4.0,Marvan Atapattu,Win
Pakistan,Sri Lanka,ODI,Colombo(RPS),1997,Win,Bowling,224.0,9.0,11.0,3.0,15.0,4.48,68.02,57.0,10.0,12.0,2.0,Marvan Atapattu,Lose
Bangladesh,Pakistan,ODI,Colombo(RPS),1997,Lose,Bowling,210.0,10.0,15.0,1.0,18.0,4.24,54.03,82.0,5.0,13.0,1.0,Saeed Anwar,Lose
Pakistan,Bangladesh,ODI,Colombo(RPS),1997,Win,Batting,319.0,5.0,28.0,3.0,13.0,6.38,129.1,90.0,10.0,18.0,5.0,Saeed Anwar,Win
Sri Lanka,India,ODI,Colombo(RPS),1997,Win,Bowling,231.0,4.0,23.0,0.0,21.0,5.17,66.43,131.0,6.0,4.0,2.0,Arjuna Ranatunga,Win
India,Sri Lanka,ODI,Colombo(RPS),1997,Lose,Batting,227.0,6.0,19.0,2.0,4.0,4.54,86.79,81.0,4.0,21.0,2.0,Arjuna Ranatunga,Lose
Sri Lanka,Bangladesh,ODI,Colombo(SSC),1997,Lose,Batting,296.0,4.0,31.0,4.0,13.0,6.43,104.29,108.0,8.0,23.0,2.0,Sanath Jayasuriya,Win
Bangladesh,Sri Lanka,ODI,Colombo(SSC),1997,Win,Bowling,193.0,8.0,15.0,1.0,23.0,4.19,56.86,47.0,4.0,13.0,2.0,Sanath Jayasuriya,Lose
Bangladesh,India,ODI,Colombo(SSC),1997,Lose,Batting,130.0,8.0,10.0,0.0,19.0,3.02,31.66,33.0,1.0,8.0,1.0,Sourav Ganguly,Lose
India,Bangladesh,ODI,Colombo(SSC),1997,Win,Bowling,132.0,1.0,16.0,2.0,8.0,8.8,129.57,73.0,8.0,19.0,3.0,Sourav Ganguly,Win
Sri Lanka,India,ODI,Colombo(RPS),1997,Lose,Bowling,240.0,2.0,19.0,6.0,25.0,6.51,99.56,84.0,7.0,15.0,2.0,Marvan Atapattu,Win
India,Sri Lanka,ODI,Colombo(RPS),1997,Win,Batting,239.0,7.0,11.0,2.0,15.0,4.78,91.52,81.0,2.0,25.0,1.0,Marvan Atapattu,Lose
Bangladesh,Sri Lanka,ODI,Dhaka,2000,Lose,Batting,175.0,6.0,8.0,1.0,12.0,3.5,46.74,85.0,1.0,13.0,1.0,Aravinda de Silva,Lose
Sri Lanka,Bangladesh,ODI,Dhaka,2000,Win,Bowling,178.0,1.0,20.0,4.0,13.0,5.8,82.31,96.0,6.0,12.0,2.0,Aravinda de Silva,Win
Bangladesh,India,ODI,Dhaka,2000,Win,Batting,249.0,6.0,17.0,4.0,17.0,4.98,90.75,64.0,2.0,11.0,1.0,Sourav Ganguly,Lose
India,Bangladesh,ODI,Dhaka,2000,Lose,Bowling,252.0,2.0,17.0,9.0,11.0,6.27,100.72,135.0,6.0,17.0,3.0,Sourav Ganguly,Win
India,Sri Lanka,ODI,Dhaka,2000,Lose,Bowling,205.0,10.0,18.0,2.0,17.0,4.55,52.18,93.0,8.0,23.0,2.0,Sanath Jayasuriya,Lose
Sri Lanka,India,ODI,Dhaka,2000,Win,Batting,276.0,8.0,21.0,2.0,23.0,5.52,84.47,105.0,10.0,17.0,3.0,Sanath Jayasuriya,Win
Bangladesh,Pakistan,ODI,Dhaka,2000,Lose,Bowling,87.0,10.0,7.0,0.0,22.0,2.53,28.78,23.0,3.0,9.0,1.0,Imran Nazir,Lose
Pakistan,Bangladesh,ODI,Dhaka,2000,Win,Batting,320.0,3.0,33.0,6.0,9.0,6.4,111.43,80.0,10.0,22.0,3.0,Imran Nazir,Win
India,Pakistan,ODI,Dhaka,2000,Lose,Bowling,251.0,10.0,19.0,4.0,38.0,5.26,54.83,93.0,7.0,16.0,3.0,Mohammad Yousuf,Lose
Pakistan,India,ODI,Dhaka,2000,Win,Batting,295.0,7.0,29.0,3.0,16.0,5.9,100.53,100.0,10.0,38.0,4.0,Mohammad Yousuf,Win
Pakistan,Sri Lanka,ODI,Dhaka,2000,Lose,Bowling,193.0,3.0,14.0,3.0,15.0,3.99,64.61,90.0,10.0,12.0,3.0,Mohammad Yousuf,Win
Sri Lanka,Pakistan,ODI,Dhaka,2000,Win,Batting,192.0,10.0,10.0,2.0,12.0,3.91,46.81,62.0,3.0,15.0,2.0,Mohammad Yousuf,Lose
Pakistan,Sri Lanka,ODI,Dhaka,2000,Win,Batting,277.0,4.0,16.0,6.0,17.0,5.54,85.63,82.0,10.0,15.0,2.0,Moin Khan,Win
Sri Lanka,Pakistan,ODI,Dhaka,2000,Lose,Bowling,238.0,10.0,20.0,3.0,15.0,5.25,61.8,100.0,4.0,17.0,2.0,Moin Khan,Lose
Bangladesh,Hong Kong,ODI,Colombo(SSC),2004,Lose,Batting,221.0,9.0,15.0,0.0,20.0,4.42,74.38,68.0,10.0,13.0,3.0,Javed Omar,Win
Hong Kong,Bangladesh,ODI,Colombo(SSC),2004,Win,Bowling,105.0,10.0,6.0,0.0,13.0,2.31,31.01,20.0,9.0,20.0,3.0,Javed Omar,Lose
India,UAE,ODI,Dambulla,2004,Win,Batting,260.0,6.0,17.0,1.0,14.0,5.2,74.59,104.0,10.0,34.0,3.0,Rahul Dravid,Win
UAE,India,ODI,Dambulla,2004,Lose,Bowling,144.0,10.0,14.0,0.0,34.0,4.11,34.93,55.0,6.0,14.0,2.0,Rahul Dravid,Lose
Bangladesh,Pakistan,ODI,Colombo(SSC),2004,Lose,Bowling,181.0,10.0,13.0,1.0,20.0,3.99,45.64,62.0,6.0,11.0,2.0,Yasir Hameed,Lose
Pakistan,Bangladesh,ODI,Colombo(SSC),2004,Win,Batting,257.0,6.0,19.0,2.0,11.0,5.14,83.96,102.0,10.0,20.0,3.0,Yasir Hameed,Win
Sri Lanka,UAE,ODI,Dambulla,2004,Win,Batting,239.0,10.0,20.0,1.0,24.0,4.78,65.42,73.0,10.0,24.0,4.0,Khurram Khan,Win
UAE,Sri Lanka,ODI,Dambulla,2004,Lose,Bowling,123.0,10.0,8.0,0.0,24.0,2.57,28.99,39.0,10.0,24.0,4.0,Khurram Khan,Lose
Hong Kong,Pakistan,ODI,Colombo(SSC),2004,Lose,Bowling,165.0,10.0,17.0,1.0,29.0,3.73,38.65,36.0,5.0,13.0,2.0,Shoaib Malik,Lose
Pakistan,Hong Kong,ODI,Colombo(SSC),2004,Win,Batting,343.0,5.0,24.0,6.0,13.0,6.86,136.56,144.0,10.0,29.0,4.0,Shoaib Malik,Win
Sri Lanka,India,ODI,Dambulla,2004,Win,Batting,282.0,4.0,19.0,3.0,27.0,5.64,87.88,58.0,8.0,34.0,3.0,Nuwan Zoysa,Win
India,Sri Lanka,ODI,Dambulla,2004,Lose,Bowling,270.0,8.0,23.0,2.0,34.0,5.4,73.76,82.0,4.0,27.0,1.0,Nuwan Zoysa,Lose
Bangladesh,India,ODI,Colombo(SSC),2004,Lose,Batting,177.0,10.0,9.0,2.0,37.0,3.6,34.2,35.0,2.0,19.0,1.0,Sachin Tendulkar,Lose
India,Bangladesh,ODI,Colombo(SSC),2004,Win,Bowling,178.0,2.0,16.0,4.0,19.0,4.62,89.6,82.0,10.0,37.0,3.0,Sachin Tendulkar,Win
Sri Lanka,Pakistan,ODI,Colombo(RPS),2004,Lose,Bowling,123.0,3.0,10.0,0.0,25.0,3.84,56.99,26.0,10.0,16.0,3.0,Nuwan Zoysa,Win
Pakistan,Sri Lanka,ODI,Colombo(RPS),2004,Win,Batting,122.0,10.0,7.0,1.0,16.0,3.06,33.51,43.0,3.0,25.0,2.0,Nuwan Zoysa,Lose
Sri Lanka,Bangladesh,ODI,Colombo(RPS),2004,Lose,Bowling,191.0,0.0,15.0,0.0,20.0,5.7,84.97,107.0,9.0,20.0,3.0,Sanath Jayasuriya,Win
Bangladesh,Sri Lanka,ODI,Colombo(RPS),2004,Win,Batting,190.0,9.0,12.0,1.0,20.0,3.8,79.55,66.0,0.0,20.0,0.0,Sanath Jayasuriya,Lose
India,Pakistan,ODI,Colombo(RPS),2004,Lose,Bowling,241.0,8.0,18.0,1.0,38.0,4.82,59.68,78.0,9.0,21.0,3.0,Shoaib Malik,Lose
Pakistan,India,ODI,Colombo(RPS),2004,Win,Batting,300.0,9.0,29.0,2.0,21.0,6.0,68.11,143.0,8.0,38.0,2.0,Shoaib Malik,Win
Sri Lanka,India,ODI,Colombo(RPS),2004,Lose,Bowling,267.0,9.0,20.0,3.0,26.0,5.34,72.7,130.0,6.0,20.0,2.0,Virender Sehwag,Lose
India,Sri Lanka,ODI,Colombo(RPS),2004,Win,Batting,271.0,6.0,23.0,2.0,20.0,5.42,84.49,79.0,9.0,26.0,3.0,Virender Sehwag,Win
Bangladesh,Pakistan,ODI,Colombo(RPS),2004,Win,Batting,166.0,10.0,12.0,0.0,37.0,3.66,34.08,54.0,4.0,10.0,1.0,Shoaib Malik,Lose
Pakistan,Bangladesh,ODI,Colombo(RPS),2004,Lose,Bowling,167.0,4.0,22.0,0.0,10.0,4.07,62.75,48.0,10.0,37.0,3.0,Shoaib Malik,Win
Sri Lanka,India,ODI,Colombo(RPS),2004,Win,Batting,228.0,9.0,18.0,0.0,32.0,4.56,60.69,65.0,9.0,25.0,3.0,Marvan Atapattu,Win
India,Sri Lanka,ODI,Colombo(RPS),2004,Lose,Bowling,203.0,9.0,13.0,3.0,25.0,4.06,58.39,74.0,9.0,32.0,2.0,Marvan Atapattu,Lose
Bangladesh,UAE,ODI,Lahore,2008,Win,Batting,300.0,8.0,22.0,1.0,18.0,6.0,95.6,109.0,10.0,10.0,3.0,Mohammad Ashraful,Win
UAE,Bangladesh,ODI,Lahore,2008,Lose,Bowling,204.0,10.0,22.0,1.0,10.0,4.46,57.53,78.0,8.0,18.0,3.0,Mohammad Ashraful,Lose
Pakistan,Hong Kong,ODI,Karachi,2008,Win,Batting,288.0,9.0,30.0,1.0,12.0,5.76,79.88,67.0,10.0,16.0,2.0,Sohail Tanvir,Win
Hong Kong,Pakistan,ODI,Karachi,2008,Lose,Bowling,133.0,10.0,13.0,0.0,16.0,3.56,40.08,26.0,9.0,12.0,4.0,Sohail Tanvir,Lose
Bangladesh,Sri Lanka,ODI,Lahore,2008,Win,Bowling,226.0,7.0,13.0,2.0,20.0,4.52,60.82,44.0,9.0,22.0,3.0,Kumar Sangakkara,Lose
Sri Lanka,Bangladesh,ODI,Lahore,2008,Lose,Batting,357.0,9.0,36.0,5.0,22.0,7.14,97.7,101.0,7.0,20.0,2.0,Kumar Sangakkara,Win
Hong Kong,India,ODI,Karachi,2008,Lose,Bowling,118.0,10.0,17.0,0.0,9.0,3.2,40.44,25.0,4.0,9.0,2.0,Suresh Raina,Lose
India,Hong Kong,ODI,Karachi,2008,Win,Batting,374.0,4.0,33.0,14.0,9.0,7.48,123.06,109.0,10.0,9.0,4.0,Suresh Raina,Win
Pakistan,India,ODI,Karachi,2008,Win,Batting,299.0,4.0,33.0,1.0,7.0,5.98,123.3,125.0,4.0,15.0,2.0,Suresh Raina,Lose
India,Pakistan,ODI,Karachi,2008,Lose,Bowling,301.0,4.0,25.0,12.0,15.0,7.13,85.13,119.0,4.0,7.0,1.0,Suresh Raina,Win
Sri Lanka,UAE,ODI,Lahore,2008,Win,Batting,290.0,9.0,22.0,0.0,19.0,5.8,80.53,67.0,10.0,9.0,5.0,Ajantha Mendis,Win
UAE,Sri Lanka,ODI,Lahore,2008,Lose,Bowling,148.0,10.0,16.0,0.0,9.0,4.05,42.01,77.0,9.0,19.0,3.0,Ajantha Mendis,Lose
Bangladesh,India,ODI,Karachi,2008,Win,Batting,283.0,6.0,27.0,6.0,14.0,5.66,71.07,115.0,3.0,18.0,2.0,Suresh Raina,Lose
India,Bangladesh,ODI,Karachi,2008,Lose,Bowling,284.0,3.0,25.0,6.0,18.0,6.55,86.45,116.0,6.0,14.0,2.0,Suresh Raina,Win
Pakistan,Sri Lanka,ODI,Karachi,2008,Win,Bowling,238.0,9.0,17.0,4.0,3.0,4.76,62.63,76.0,7.0,23.0,5.0,Kumar Sangakkara,Lose
Sri Lanka,Pakistan,ODI,Karachi,2008,Lose,Batting,302.0,7.0,26.0,4.0,23.0,6.04,93.22,112.0,9.0,3.0,4.0,Kumar Sangakkara,Win
Bangladesh,Sri Lanka,ODI,Karachi,2008,Lose,Bowling,174.0,10.0,20.0,1.0,14.0,4.51,55.06,52.0,8.0,10.0,2.0,Sanath Jayasuriya,Lose
Sri Lanka,Bangladesh,ODI,Karachi,2008,Win,Batting,332.0,8.0,36.0,8.0,10.0,6.64,96.79,130.0,10.0,14.0,5.0,Sanath Jayasuriya,Win
Pakistan,India,ODI,Karachi,2008,Lose,Bowling,309.0,2.0,35.0,2.0,6.0,6.79,137.17,123.0,7.0,13.0,3.0,Younis Khan,Win
India,Pakistan,ODI,Karachi,2008,Win,Batting,308.0,7.0,26.0,3.0,13.0,6.16,89.22,76.0,2.0,6.0,1.0,Younis Khan,Lose
India,Sri Lanka,ODI,Karachi,2008,Lose,Bowling,310.0,4.0,30.0,3.0,21.0,6.61,103.26,68.0,8.0,15.0,2.0,MS Dhoni,Win
Sri Lanka,India,ODI,Karachi,2008,Win,Batting,308.0,8.0,30.0,3.0,15.0,6.16,107.2,75.0,4.0,21.0,2.0,MS Dhoni,Lose
Pakistan,Bangladesh,ODI,Karachi,2008,Lose,Bowling,116.0,0.0,14.0,2.0,8.0,5.89,91.59,56.0,10.0,16.0,3.0,Abdur Rauf,Win
